,street address,latitude,longitude,neighbourhood,Income_Class,Crime_Class
421,2815 yale st,49.290923,-123.046093,hastings sunrise,Low Class,Severe Crime
422,2419 grant st #201,49.271619,-123.055762,hastings sunrise,Low Class,Severe Crime
423,3623 yale st,49.290988,-123.025089,hastings sunrise,Low Class,Severe Crime
424,2889 e 1st ave #215,49.269961,-123.044686,hastings sunrise,Low Class,Severe Crime
425,2737 oxford st,49.285419,-123.04837,hastings sunrise,Low Class,Severe Crime
426,3449 e 4th ave,49.266885,-123.029764,hastings sunrise,Low Class,Severe Crime
427,3609 turner st,49.27936,-123.025311,hastings sunrise,Low Class,Severe Crime
428,3615 yale st,49.290383,-123.025333,hastings sunrise,Low Class,Severe Crime
429,3240 napier st,49.274717,-123.035049,hastings sunrise,Low Class,Severe Crime
430,3457 oxford st,49.285941,-123.029585,hastings sunrise,Low Class,Severe Crime
431,3516 georgia st e,49.278004,-123.027789,hastings sunrise,Low Class,Severe Crime
432,2636 mcgill st,49.288372,-123.05073,hastings sunrise,Low Class,Severe Crime
433,3221 grant st,49.271608,-123.035912,hastings sunrise,Low Class,Severe Crime
434,2556 hastings st e #l01,49.280884,-123.053231,hastings sunrise,Low Class,Severe Crime
435,3491 e pender st,49.280492,-123.028763,hastings sunrise,Low Class,Severe Crime
436,557 rupert st,49.279434,-123.034049,hastings sunrise,Low Class,Severe Crime
437,2741 hastings st e #200,49.281423,-123.048362,hastings sunrise,Low Class,Severe Crime
438,2925 mcgill st,49.289001,-123.04321,hastings sunrise,Low Class,Severe Crime
439,3615 georgia st e,49.278475,-123.0253,hastings sunrise,Low Class,Severe Crime
440,2715 e pender st #2,49.280519,-123.048778,hastings sunrise,Low Class,Severe Crime
441,3166 e 5th ave,49.265378,-123.037434,hastings sunrise,Low Class,Severe Crime
442,2537 trinity st,49.289998,-123.053696,hastings sunrise,Low Class,Severe Crime
443,3592 turner st,49.278829,-123.026117,hastings sunrise,Low Class,Severe Crime
444,2828 wall st,49.291182,-123.045857,hastings sunrise,Low Class,Severe Crime
445,3418 adanac st #11,49.2768,-123.030082,hastings sunrise,Low Class,Severe Crime
446,3186 grant st,49.271081,-123.036832,hastings sunrise,Low Class,Severe Crime
447,2551 triumph st,49.284141,-123.053337,hastings sunrise,Low Class,Severe Crime
448,2641 charles st,49.273541,-123.051021,hastings sunrise,Low Class,Severe Crime
449,2403 cambridge st,49.287022,-123.05607,hastings sunrise,Low Class,Severe Crime
450,3256 georgia st e,49.278011,-123.034836,hastings sunrise,Low Class,Severe Crime
451,2232 renfrew st #1,49.264445,-123.043814,hastings sunrise,Low Class,Severe Crime
452,3428 adanac st #13,49.2768,-123.030082,hastings sunrise,Low Class,Severe Crime
453,3576 georgia st e,49.278003,-123.026556,hastings sunrise,Low Class,Severe Crime
454,3513 triumph st,49.28412,-123.027764,hastings sunrise,Low Class,Severe Crime
455,215 2889 e 1st avenue,49.269961,-123.044686,hastings sunrise,Low Class,Severe Crime
456,2551 triumph street,49.284141,-123.053337,hastings sunrise,Low Class,Severe Crime
457,557 rupert street,49.279434,-123.034049,hastings sunrise,Low Class,Severe Crime
458,1 1186 kaslo street,49.27444,-123.046474,hastings sunrise,Low Class,Severe Crime
459,3529 napier street,49.275177,-123.027651,hastings sunrise,Low Class,Severe Crime
460,3163 e 1st avenue,49.26978,-123.037372,hastings sunrise,Low Class,Severe Crime
461,2 3260 graveley street,49.270161,-123.034966,hastings sunrise,Low Class,Severe Crime
462,1 2623 triumph street,49.284139,-123.051262,hastings sunrise,Low Class,Severe Crime
463,2 2623 triumph street,49.284139,-123.051262,hastings sunrise,Low Class,Severe Crime
464,3653 eton street,49.287388,-123.024308,hastings sunrise,Low Class,Severe Crime
465,2 2444 napier street,49.27472,-123.055579,hastings sunrise,Low Class,Severe Crime
466,3504 1288 west georgia,49.278491,-123.028053,hastings sunrise,Low Class,Severe Crime
467,210 2408 grant street,49.271044,-123.056147,hastings sunrise,Low Class,Severe Crime
468,3303 venables street,49.276859,-123.033177,hastings sunrise,Low Class,Severe Crime
469,3256 e georgia street,49.278011,-123.034836,hastings sunrise,Low Class,Severe Crime
470,3186 grant street,49.271081,-123.036832,hastings sunrise,Low Class,Severe Crime
471,2798 yale street,49.29041,-123.047025,hastings sunrise,Low Class,Severe Crime
472,2528 napier street,49.274736,-123.053896,hastings sunrise,Low Class,Severe Crime
473,3188 grant street,49.271081,-123.036832,hastings sunrise,Low Class,Severe Crime
474,3576 e georgia street,49.278003,-123.026556,hastings sunrise,Low Class,Severe Crime
475,4513 nanaimo st,49.244586,-123.057159,kensington cedar cottage,Low Class,Severe Crime
476,3945 alice st #2,49.249891,-123.066147,kensington cedar cottage,Low Class,Severe Crime
477,1363 e 21st ave,49.251446,-123.077023,kensington cedar cottage,Low Class,Severe Crime
478,4869 lanark st,49.240711,-123.075322,kensington cedar cottage,Low Class,Severe Crime
479,2236 e 34th ave,49.238649,-123.060743,kensington cedar cottage,Low Class,Severe Crime
480,4818 knight st,49.241341,-123.075952,kensington cedar cottage,Low Class,Severe Crime
481,2550 garden dr #605,49.261596,-123.057753,kensington cedar cottage,Low Class,Severe Crime
482,2550 garden dr #414,49.261596,-123.057753,kensington cedar cottage,Low Class,Severe Crime
483,1219 e 29th ave,49.24482,-123.079651,kensington cedar cottage,Low Class,Severe Crime
484,2550 garden dr #203,49.261596,-123.057753,kensington cedar cottage,Low Class,Severe Crime
485,5595 dumfries st,49.233783,-123.074635,kensington cedar cottage,Low Class,Severe Crime
486,3018 knight st,49.257463,-123.075921,kensington cedar cottage,Low Class,Severe Crime
487,1369 e 24th ave,49.249252,-123.07696,kensington cedar cottage,Low Class,Severe Crime
488,2550 garden dr #302,49.261596,-123.057753,kensington cedar cottage,Low Class,Severe Crime
489,3225 clark dr,49.255906,-123.078186,kensington cedar cottage,Low Class,Severe Crime
490,1419 e 27th ave,49.246654,-123.075422,kensington cedar cottage,Low Class,Severe Crime
491,2277 e 30th ave #309,49.24154,-123.059303,kensington cedar cottage,Low Class,Severe Crime
492,4559 beatrice st #1,49.243873,-123.066976,kensington cedar cottage,Low Class,Severe Crime
493,2032 e 22nd ave,49.250008,-123.06413,kensington cedar cottage,Low Class,Severe Crime
494,1907 e 38th ave,49.235477,-123.067132,kensington cedar cottage,Low Class,Severe Crime
495,4638 gladstone st #1510,49.242466,-123.062508,kensington cedar cottage,Low Class,Severe Crime
496,1965 e 37th ave,49.236934,-123.066233,kensington cedar cottage,Low Class,Severe Crime
497,4078 knight st #523,49.248893,-123.075391,kensington cedar cottage,Low Class,Severe Crime
498,2119 e 29th ave #1,49.245166,-123.062331,kensington cedar cottage,Low Class,Severe Crime
499,4652 victoria dr,49.243247,-123.064884,kensington cedar cottage,Low Class,Severe Crime
500,1417 e 27th ave,49.246662,-123.075282,kensington cedar cottage,Low Class,Severe Crime
501,2047 mannering ave,49.240907,-123.064039,kensington cedar cottage,Low Class,Severe Crime
