,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
60,60,623 - 120 dallimore circ,banbury-don mills,43.730082,-79.332265,489000,1,1,POINT (634314.7716212522 4843245.916688832),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,5,25,91,5,0,0,0
61,61,5 terrington crt,banbury-don mills,43.741986,-79.358048,1858000,4,1,POINT (632212.0558984171 4844526.557810301),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,9,27,100,8,0,1,0
62,62,270 brighton ave,bathurst manor,43.757593,-79.458141,1898000,5,3,POINT (624120.100579287 4846105.063191346),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,10,66,112,9,0,1,0
63,63,333 brighton ave,bathurst manor,43.756128,-79.462889,3438000,6,7,POINT (623740.9017118278 4845935.248048471),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,19,75,115,11,7,1,0
64,64,212 cocksfield ave,bathurst manor,43.753818,-79.454186,999000,4,2,POINT (624446.307271961 4845691.728467335),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,28,47,106,16,11,1,0
65,65,53 codsell ave,bathurst manor,43.757679,-79.443357,1199900,4,3,POINT (625310.0478053815 4846136.878570611),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,17,38,72,5,10,0,2
66,66,10 cedar springs grove,bathurst manor,43.768408,-79.45904,1550000,4,3,POINT (624025.3789616399 4847304.884097856),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,14,35,82,12,0,2,0
67,67,52 acton ave,bathurst manor,43.760296,-79.449789,1449900,5,3,POINT (624786.8254805326 4846417.82319893),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,0,27,102,0,0,0,0
68,68,169 kennard ave,bathurst manor,43.759786,-79.46168,1649900,5,3,POINT (623830.6834815801 4846343.330548536),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,14,51,133,12,2,0,0
69,69,518 - 1060 sheppard ave w,bathurst manor,43.756448,-79.435498,670000,2,2,POINT (625945.2870857711 4846012.079332873),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,17,36,57,11,3,1,2
70,70,759 wilson heights blvd,bathurst manor,43.760363,-79.463893,949990,3,1,POINT (623651.3526706512 4846404.108265243),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,18,56,137,11,7,0,0
71,71,lph05 - 660 sheppard ave e,bathurst manor,43.755102,-79.44215,1498000,2,3,POINT (625412.5959844107 4845852.491352731),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,22,41,72,9,11,0,2
72,72,14 - 43 wild ginger way,bathurst manor,43.759312,-79.440651,899000,3,3,POINT (625524.4683259883 4846322.345717174),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,17,35,62,7,7,1,2
73,73,215 searle ave,bathurst manor,43.756634,-79.456582,1789000,5,2,POINT (624247.5865191839 4846000.889694231),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,118,bathurst manor,4.760362366,2.5208165,13,53,109,12,1,0,0
74,74,11 wellesley st w #612,bay-cloverhill,43.664526,-79.385583,699000,2,1,POINT (630162.4192586101 4835879.954106958),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,5,bay-cloverhill,0.690547519,15.92938891,167,581,1102,23,123,13,8
75,75,57 saint joseph st #523,bay-cloverhill,43.665388,-79.388021,989000,3,2,POINT (629963.9931283942 4835971.868186897),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,5,bay-cloverhill,0.690547519,15.92938891,166,543,1095,26,102,31,7
76,76,77 charles st w #906,bay-cloverhill,43.667717,-79.390434,2999000,2,2,POINT (629764.4268681317 4836226.757217633),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,5,bay-cloverhill,0.690547519,15.92938891,157,460,926,21,94,38,4
77,77,11 wellesley st w #4711,bay-cloverhill,43.664526,-79.385583,714900,1,1,POINT (630162.4192586101 4835879.954106958),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,5,bay-cloverhill,0.690547519,15.92938891,167,581,1102,23,123,13,8
78,78,5 saint joseph st #4309,bay-cloverhill,43.665776,-79.385633,698000,2,1,POINT (630155.6863169303 4836018.704919306),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,5,bay-cloverhill,0.690547519,15.92938891,160,527,1070,23,116,14,7
79,79,57 saint nicholas st,bay-cloverhill,43.667191,-79.386232,1889000,3,4,POINT (630104.3352246223 4836174.919991743),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,5,bay-cloverhill,0.690547519,15.92938891,196,493,1016,26,144,16,10
80,80,35 balmuto st #2101,bay-cloverhill,43.669472,-79.387488,998000,2,2,POINT (629998.1490418563 4836426.2865199),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,5,bay-cloverhill,0.690547519,15.92938891,196,419,822,22,152,12,10
