Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
405 - 2464 Weston Road,"$405,000",Weston,Toronto,1,1,Apt/Condo
40 Thorny Vine Way,"$715,000",Bayview Village,Toronto,4,3,Townhouse
811 - 33 Shore Breeze Drive,"$699,000",Mimico,Toronto,2,2,Apt/Condo
613 Old Weston Rd,"$1,088,000",Weston Pellam Park,Toronto,4,4,House
928 - 251 Jarvis Street,"$589,900",Moss Park,Toronto,2,1,Apt/Condo
1205 - 6 Eva Rd,"$509,000",Etobicoke West Mall,Toronto,1,1,Apt/Condo
928 - 251 Jarvis Street,"$589,900",Moss Park,Toronto,2,1,Apt/Condo
169 Kennard Ave,"$1,649,900",Bathurst Manor,Toronto,5,3,House
1205 - 6 Eva Rd,"$509,000",Etobicoke West Mall,Toronto,1,1,Apt/Condo
518 - 1060 Sheppard Ave W,"$670,000",York University Heights,Toronto,2,2,Apt/Condo
21 Cambridge Avenue,"$1,850,000",Playter Estates Danforth,Toronto,4,3,House
48d Crawford St,"$979,000",Niagara,Toronto,2,3,Townhouse
503 - 75 Dalhousie St,"$629,900",Church Yonge Corridor,Toronto,3,1,Apt/Condo
2114 - 158 Front Street,"$528,000",Moss Park,Toronto,1,1,Apt/Condo
2405 - 36 Zorra St,"$600,000",Islington City Centre West,Toronto,3,2,Apt/Condo
818 - 1 Bedford Rd,"$878,000",Yorkville,Toronto,2,1,Apt/Condo
69 Laing Street,"$1,075,000",Greenwood Coxwell,Toronto,3,2,House
919 - 38 Joe Shuster Way,"$399,990",South Parkdale,Toronto,1,1,Apt/Condo
303 - 18 Pemberton Ave,"$580,000",Newtonbrook East,Toronto,2,1,Apt/Condo
906 - 47 Mutual St,"$549,900",Church Yonge Corridor,Toronto,2,1,Apt/Condo
3909 - 11 Wellesley St W,"$724,900",Bay Street Corridor,Toronto,2,1,Apt/Condo
1401 - 55 Charles St E,"$799,000",Church Yonge Corridor,Toronto,1,1,Apt/Condo
425 Cranbrooke Avenue,"$2,695,000",Bedford Park Nortown,Toronto,3,5,House
905 - 10 Dean Park Road,"$529,888",Rouge,Toronto,2,1,Apt/Condo
18 - 73 Driftwood Ave,"$618,000",Glenfield Jane Heights,Toronto,3,2,Townhouse
76 Dalegrove Cres,"$2,249,888",Eringate Centennial West Deane,Toronto,9,5,House
S319 - 120 Bayview Ave,"$468,000",Waterfront Communities East,Toronto,0,1,Apt/Condo
4610 - 138 Downes Street,"$579,000",Waterfront Communities East,Toronto,0,1,Apt/Condo
43 Snowshoe Millway,"$1,399,900",St. Andrew Windfields,Toronto,4,3,Townhouse
903 - 1103 Leslie St,"$698,000",Banbury Don Mills,Toronto,2,2,Apt/Condo
811 - 33 Shore Breeze Drive,"$699,000",Mimico,Toronto,2,2,Apt/Condo
21 Cambridge Avenue,"$1,850,000",Playter Estates Danforth,Toronto,4,3,House
48d Crawford St,"$979,000",Niagara,Toronto,2,3,Townhouse
905 - 10 Dean Park Road,"$529,888",Rouge,Toronto,2,1,Apt/Condo
15 Wantanopa Crescent,"$1,338,800",Woburn,Toronto,5,4,House
28 Wuthering Heights Road,"$899,900",West Rouge,Toronto,3,4,Townhouse
