,street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
245,55 Lynnhaven Rd,M6A2K7,43.721312,-79.439612,Lawrence Heights,North York,3269999,6bds,7ba,,0,3,5,5,133,0,16,11,0,37,0,0,0,0,1
246,129 Clansman Blvd,M2H1Y3,43.802346,-79.361476,Hillcrest Village,North York,1399900,4bds,4ba,,0,1,12,4,100,0,18,4,0,3,0,0,0,0,3
247,62 Portico Dr,M1G3R6,43.780543,-79.219347,Woburn,Scarborough,999900,5bds,2ba,,0,0,12,0,39,0,3,3,0,8,0,0,0,0,0
248,579 Indian Rd,M6P2C3,43.65804,-79.456608,High Park,West Toronto,2999999,9bds,5ba,,0,4,8,5,102,12,49,29,0,31,0,0,0,0,2
249,6 Elward Blvd,M1L3L2,43.691459,-79.281882,Clairlea,Scarborough,569900,3bds,2ba,,0,1,7,3,114,4,18,9,0,15,0,0,0,0,1
250,483 Dupont St #103,M6G1Y6,43.672797,-79.415295,Christie,Downtown Toronto,849900,0bds,1ba,,0,5,18,7,106,9,126,45,0,47,0,0,0,0,2
251,55 Regency Sq,M1E1N4,43.752281,-79.194912,Guildwood,Scarborough,1299000,5bds,2ba,,0,0,0,1,10,0,0,2,0,4,0,0,0,0,1
252,30 High Point Rd,M3C2R3,43.731817,-79.368833,Flemingdon Park,North York,28000000,8bds,13ba,,20,0,17,0,40,0,2,2,0,3,0,0,0,0,0
253,200 Murison Blvd UNIT 67,M1B3R9,43.800088,-79.202935,Rouge,Scarborough,499900,3bds,2ba,,0,0,7,1,53,0,0,0,0,3,0,0,0,0,0
254,10 Greenyards Dr,M2M2R6,43.79625,-79.40879,Newtonbrook,North York,1799000,5bds,3ba,,0,0,6,3,101,0,26,11,0,9,0,0,0,0,1
255,23 Elba Ave,M1L4E9,43.699375,-79.274278,Clairlea,Scarborough,499999,3bds,2ba,,0,1,5,0,108,4,8,2,0,4,0,0,0,0,0
256,24 Sophia Dr,M1H1Z4,43.762867,-79.227694,Cedarbrae,Scarborough,799000,3 bds,1 ba,,0,0,14,2,57,0,12,3,0,34,0,0,0,0,1
257,1 Strathgowan Ave #403,M4N0B3,43.718724,-79.400268,Lawrence Park,Central Toronto,1700000,2 bds,3 ba,,0,2,7,8,103,7,53,30,1,47,0,0,0,0,4
258,501 Adelaide St W #909,M5V0R3,43.645422,-79.401295,CN Tower,Downtown Toronto,539900,1 bd,1 ba,,2,0,17,20,31,38,346,131,0,160,0,0,0,0,11
259,15 Helmsdale Cres,M9V3X8,43.747239,-79.603316,Albion Gardens,Etobicoke,1199900,7 bds,4 ba,,0,0,9,0,28,0,1,1,0,15,0,0,0,0,0
260,55 Deanscroft Sq,M1E4W8,43.764897,-79.176426,Guildwood,Scarborough,875000,4 bds,3 ba,,0,0,0,0,0,0,0,2,0,10,0,0,0,0,1
261,191 Parkmount Rd,M4J4V5,43.681804,-79.325548,East Toronto,East York,1139000,4 bds,4 ba,,1,3,8,3,97,3,20,14,0,15,0,0,0,0,0
262,21 Iceboat Ter PENTHOUSE 10,M5V4A9,43.640393,-79.397362,CN Tower,Downtown Toronto,2950000,4 bds,4 ba,,0,0,7,18,23,29,221,89,0,126,0,0,0,0,10
263,78 Carr St #TOWNHOUSE 32,M5T1B7,43.649695,-79.403974,Chinatown,Downtown Toronto,699000,2 bds,2 ba,,3,0,47,18,32,35,359,133,0,133,0,0,0,0,11
264,650 Sheppard Ave E #215,M2K3E4,43.768577,-79.381429,Bayview Village,North York,569988,2 bds,1 ba,,0,2,5,1,43,0,5,7,0,8,0,0,0,0,0
265,1778 Dufferin St,M6E3P4,43.680272,-79.444278,Caledonia-Fairbanks,York,997000,5 bds,4 ba,,0,0,10,2,108,3,53,25,0,20,0,0,0,0,1
