Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
586,1152 Georgia St E,V6A2A8,49.277968,-123.08008,Vancouver,2550000.0,5 bds,4 ba,"2,971 sqft",0,1,0,6,63,2,48,23,0,8,0,0,0,0,1,POINT (-123.08008 49.277968),Strathcona,12000.0,2400.0,2777.0,555.0,1155.0,231.0,8068.0,1614.0
587,1735 Victoria Dr,V5N4J9,49.268977,-123.066178,Vancouver,1750000.0,7 bds,4 ba,"2,080 sqft",0,3,0,8,75,2,84,23,0,25,0,0,0,0,4,POINT (-123.066178 49.268977),Grandview-Woodland,8009.0,1602.0,1172.0,234.0,963.0,193.0,5874.0,1175.0
588,548 E 16th Ave,V5T2V2,49.256211,-123.092771,Vancouver,1799000.0,6 bds,3 ba,"2,106 sqft",1,0,1,11,87,2,114,36,0,22,0,0,0,0,2,POINT (-123.092771 49.256211),Riley Park,3276.0,655.0,229.0,46.0,566.0,113.0,2481.0,496.0
589,1275 Hamilton St #213,V6B1E2,49.274135,-123.123556,Vancouver,848000.0,2 bds,2 ba,834 sqft,1,5,24,18,138,24,310,141,1,114,0,0,0,0,12,POINT (-123.123556 49.274135),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
590,2403 Cambridge St,V5K1L1,49.287022,-123.05607,Vancouver,1998000.0,6 bds,4 ba,"2,887 sqft",0,0,0,1,40,3,33,15,0,8,0,0,0,0,1,POINT (-123.05607 49.287022),Hastings-Sunrise,4895.0,979.0,469.0,94.0,651.0,130.0,3775.0,755.0
591,3649 Prince Albert St,V5V4H9,49.252,-123.087998,Vancouver,1998000.0,6 bds,3 ba,"2,053 sqft",1,0,0,7,82,1,73,19,0,10,0,0,0,0,1,POINT (-123.087998 49.252),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
592,1159 Main St #502,V6A4B6,49.274261,-123.100494,Vancouver,756000.0,2 bds,2 ba,"1,053 sqft",0,3,4,9,137,29,146,73,0,54,0,0,0,0,4,POINT (-123.100494 49.274261),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
593,4560 Belmont Ave,V6R1C4,49.273478,-123.210627,Vancouver,4288000.0,5 bds,4 ba,"2,314 sqft",0,0,1,0,31,0,14,4,0,7,0,0,0,0,2,POINT (-123.210627 49.273478),West Point Grey,1463.0,293.0,100.0,20.0,313.0,63.0,1050.0,210.0
594,110 Prior St,V6A0A6,49.276483,-123.098475,Vancouver,1299000.0,3 bds,3 ba,"1,673 sqft",0,3,4,6,125,27,119,62,0,50,0,0,0,0,3,POINT (-123.098475 49.276483),Strathcona,12000.0,2400.0,2777.0,555.0,1155.0,231.0,8068.0,1614.0
595,4190 W 11th Ave,V6R2L6,49.262489,-123.199551,Vancouver,3088000.0,4 bds,3 ba,"3,006 sqft",0,0,1,0,39,0,17,5,0,4,0,0,0,0,2,POINT (-123.199551 49.262489),West Point Grey,1463.0,293.0,100.0,20.0,313.0,63.0,1050.0,210.0
596,1620 E 47th Ave,V5P1P5,49.226995,-123.0735,Vancouver,1399000.0,3 bds,4 ba,"1,390 sqft",0,0,1,7,83,1,31,2,0,12,0,0,0,0,1,POINT (-123.0735 49.226995),Victoria-Fraserview,2680.0,536.0,260.0,52.0,272.0,54.0,2148.0,430.0
597,3689 Borham Cres,V5S3X2,49.216123,-123.024749,Vancouver,918000.0,2 bds,3 ba,"1,826 sqft",0,0,0,1,77,0,5,2,0,2,0,0,0,0,0,POINT (-123.024749 49.216123),Killarney,2576.0,515.0,287.0,57.0,306.0,61.0,1983.0,397.0
598,850 E 38th Ave,V5W1J3,49.235374,-123.087213,Vancouver,1628000.0,3 bds,4 ba,"1,495 sqft",0,0,0,5,82,1,31,14,0,10,0,0,0,0,2,POINT (-123.087213 49.235374),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
599,1919 Beach Ave #1600,V6G1Z2,49.288974,-123.142904,Vancouver,5500000.0,4 bds,4 ba,"2,899 sqft",0,0,0,8,39,4,109,27,0,24,0,0,0,0,5,POINT (-123.142904 49.288974),West End,13175.0,2635.0,2286.0,457.0,1146.0,229.0,9743.0,1949.0
600,3518 King Edward Ave W,V6S1M5,49.249672,-123.182512,Vancouver,2780000.0,6 bds,4 ba,"2,990 sqft",0,0,0,1,43,0,10,2,0,3,0,0,0,0,1,POINT (-123.182512 49.249672),Dunbar-Southlands,1840.0,368.0,172.0,34.0,316.0,63.0,1352.0,270.0
601,3232 Columbia St,V5Y0B6,49.256458,-123.109996,Vancouver,1399900.0,2 bds,3 ba,"1,157 sqft",0,3,3,9,91,3,140,51,0,28,0,0,0,0,5,POINT (-123.109996 49.256458),Riley Park,3276.0,655.0,229.0,46.0,566.0,113.0,2481.0,496.0
602,3628 W 5th Ave,V6R1S2,49.26745,-123.184331,Vancouver,2598000.0,5 bds,3 ba,"1,890 sqft",0,0,0,6,50,3,41,14,0,10,0,0,0,0,1,POINT (-123.184331 49.26745),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
603,433 SW Marine Dr #501,V5X2P9,49.211409,-123.096518,Vancouver,918000.0,2 bds,2 ba,875 sqft,0,0,0,0,39,0,6,2,0,5,0,0,0,0,1,POINT (-123.096518 49.211409),Sunset,5717.0,1143.0,441.0,88.0,389.0,78.0,4887.0,977.0
604,690 W 6th Ave,V5Z1A3,49.265627,-123.120135,Vancouver,988000.0,2 bds,2 ba,"1,025 sqft",1,3,7,10,91,8,163,62,1,33,0,0,0,0,7,POINT (-123.120135 49.265627),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
605,2316 Prince Albert St,V5T3W5,49.264002,-123.086872,Vancouver,1399000.0,6 bds,3 ba,"2,647 sqft",1,1,1,7,78,2,39,15,0,13,0,0,0,0,1,POINT (-123.086872 49.264002),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
606,2729 Ward St,V5R4S6,49.23942,-123.049016,Vancouver,999000.0,3 bds,2 ba,965 sqft,0,2,0,2,96,0,26,2,0,3,0,0,0,0,2,POINT (-123.049016 49.23942),Renfrew-Collingwood,10181.0,2036.0,662.0,132.0,714.0,143.0,8805.0,1761.0
607,1055 W 57th Ave,V6P1S6,49.219579,-123.130073,Vancouver,4499999.0,8 bds,6 ba,"6,190 sqft",0,0,0,0,54,0,18,7,0,4,0,0,0,0,2,POINT (-123.130073 49.219579),Oakridge,1595.0,319.0,138.0,28.0,346.0,69.0,1111.0,222.0
608,1274 Barclay St #107,V6E1H3,49.285107,-123.130595,Vancouver,749000.0,2 bds,1 ba,881 sqft,0,2,9,20,124,18,314,127,0,101,0,0,0,0,13,POINT (-123.130595 49.285107),West End,13175.0,2635.0,2286.0,457.0,1146.0,229.0,9743.0,1949.0
609,4627 W 15th Ave,V6R3B5,49.259608,-123.21319,Vancouver,4680000.0,4 bds,6 ba,"2,760 sqft",0,0,1,0,29,0,13,4,0,4,0,0,0,0,2,POINT (-123.21319 49.259608),West Point Grey,1463.0,293.0,100.0,20.0,313.0,63.0,1050.0,210.0
610,888 E 12th Ave,V5T2J2,49.25942,-123.085662,Vancouver,2750000.0,7 bds,7 ba,"3,255 sqft",1,1,0,5,76,1,59,15,0,11,0,0,0,0,2,POINT (-123.085662 49.25942),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
611,1003 Burnaby St #1005,V6E4R7,49.278791,-123.130299,Vancouver,485000.0,1 bd,1 ba,403 sqft,0,3,11,21,126,20,294,121,0,104,0,0,0,0,13,POINT (-123.130299 49.278791),West End,13175.0,2635.0,2286.0,457.0,1146.0,229.0,9743.0,1949.0
612,1487 Minto Cres,V6H2J6,49.24305,-123.138757,Vancouver,12888000.0,6 bds,10 ba,"9,905 sqft",0,0,0,0,61,0,3,6,0,0,0,0,0,0,0,POINT (-123.138757 49.24305),Shaughnessy,1410.0,282.0,89.0,18.0,373.0,75.0,948.0,190.0
613,1625 Hornby St #1202,V6Z2M2,49.27511,-123.133774,Vancouver,850000.0,2 bds,2 ba,937 sqft,0,1,7,13,101,17,205,91,0,73,0,0,0,0,7,POINT (-123.133774 49.27511),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
