Street address,City,State,Zip Code,Country,Latitude,Longitude,Postal code,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage
8988 Hudson St #116, Vancouver,BC,V6P6Z1,Canada,49.20355,-123.134225,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$465,000",1 bd,1 ba,465 sqft
445 E 57th Ave #2, Vancouver,BC,V5X1S8,Canada,49.218602,-123.09638,V5X,SE Oakridge / East Marpole / South Sunset,Vancouver,"C$1,478,000",5 bds,4 ba,"1,599 sqft"
8555 Granville St #2108, Vancouver,BC,V6P0C3,Canada,49.209294,-123.141287,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$1,068,000",2 bds,2 ba,911 sqft
555 Abbott St #312, Vancouver,BC,V6B6B8,Canada,49.280181,-123.108684,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$999,000",3 bds,1 ba,986 sqft
1465 Walnut St, Vancouver,BC,V6J3R2,Canada,49.272706,-123.149237,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$1,580,000",2 bds,2 ba,"1,217 sqft"
4422 Quesnel Dr, Vancouver,BC,V6L2X6,Canada,49.247018,-123.168268,V6L,NW Arbutus Ridge / NE Dunbar- Southlands,Vancouver,"C$8,680,000",5 bds,6 ba,"4,409 sqft"
7450 Balaclava St, Vancouver,BC,V6N1M8,Canada,49.218032,-123.175623,V6N,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,"C$3,875,000",3 bds,3 ba,"2,053 sqft"
277 Thurlow St #3001, Vancouver,BC,V6C0C1,Canada,49.288884,-123.11914,V6C,Waterfront / Coal Harbour / Canada Place,Vancouver,"C$13,800,000",3 bds,4 ba,"3,327 sqft"
4053 W 32nd Ave, Vancouver,BC,V6S1Z5,Canada,49.243624,-123.195417,V6S,NW Dunbar- Southlands / Chaldecutt / South University Endowment Lands,Vancouver,"C$2,769,000",6 bds,4 ba,"2,408 sqft"
168 Powell St #515, Vancouver,BC,V6A0B2,Canada,49.282968,-123.100636,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$399,888",1 bd,1 ba,566 sqft
209 E 7th Ave #501, Vancouver,BC,V5T0H3,Canada,49.264857,-123.100405,V5T,East Mount Pleasant,Vancouver,"C$1,425,000",3 bds,2 ba,"1,327 sqft"
2453 W 10th Ave, Vancouver,BC,V6K2K7,Canada,49.263248,-123.161373,V6K,Central Kitsilano / Greektown,Vancouver,"C$3,498,000",5 bds,4 ba,"2,327 sqft"
2600 E 49th Ave #112, Vancouver,BC,V5S1J8,Canada,49.224313,-123.054098,V5S,Killarney,Vancouver,"C$529,999",2 bds,1 ba,882 sqft
1101 W 8th Ave #11, Vancouver,BC,V6H1C5,Canada,49.264598,-123.129408,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$599,000",1 bd,1 ba,607 sqft
2419 Grant St #201, Vancouver,BC,V6A2J6,Canada,49.271619,-123.055762,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$1,285,900",3 bds,2 ba,"1,167 sqft"
2236 E 34th Ave, Vancouver,BC,V5P1B1,Canada,49.238649,-123.060743,V5P,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,"C$1,988,000",7 bds,4 ba,"2,663 sqft"
1288 Marinaside Cres #609, Vancouver,BC,V6Z2W5,Canada,49.272079,-123.120377,V6Z,SW Downtown,Vancouver,"C$1,198,000",2 bds,2 ba,"1,069 sqft"
888 Bute St #101, Vancouver,BC,V6E1Y5,Canada,49.284652,-123.128638,V6E,SE West End / Davie Village,Vancouver,"C$988,000",2 bds,2 ba,"1,063 sqft"
1915 W 13th Ave, Vancouver,BC,V6J2H5,Canada,49.259723,-123.148738,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$2,399,000",3 bds,3 ba,"2,020 sqft"
3623 Yale St, Vancouver,BC,V5K1B8,Canada,49.290988,-123.025089,V5K,North Hastings-Sunrise,Vancouver,"C$1,976,000",6 bds,5 ba,"2,175 sqft"
3437 E 49th Ave #80, Vancouver,BC,V5S1M1,Canada,49.224224,-123.031028,V5S,Killarney,Vancouver,"C$869,000",3 bds,1 ba,"1,380 sqft"
