Address,Price,Neighbourhood,City,Latitude,Longitude
80 Shandon Drive,"$1,379,900",Wexford Maryvale,Toronto,43.767431,-79.31443
8 Park Hill Road,"$1,698,000",Forest Hill North,Toronto,43.698945,-79.437815
186 Silverthorn Ave,"$1,099,000",Weston Pellam Park,Toronto,43.678699,-79.461834
1009 - 714 The West Mall W,"$573,900",Eringate Centennial West Deane,Toronto,43.655688,-79.57154
1408 - 725 Don Mills Rd,"$299,000",Flemingdon Park,Toronto,43.711436,-79.333347
1001 - 30 Old Mill Rd,"$2,995,000",Kingsway South,Toronto,43.651158,-79.492337
1028 - 125 Omni Dr,"$438,000",Bendale,Toronto,43.771029,-79.260134
3202 - 8 York St,"$1,098,000",Waterfront Communities West,Toronto,43.640486,-79.380812
297 Bain Avenue,"$1,399,000",Blake Jones,Toronto,43.67298,-79.341437
48 Ardgowan Cres,"$898,000",Agincourt North,Toronto,43.812243,-79.271403
18 Epsom Ave,"$1,549,000",Woodbine Lumsden,Toronto,43.691601,-79.308027
122 Barker Ave,"$1,349,000",Danforth Village East York,Toronto,43.694213,-79.317341
1507 - 60 Pavane Linkway,"$400,000",Flemingdon Park,Toronto,43.711279,-79.322982
316 - 60 Southport St,"$858,000",High Park Swansea,Toronto,43.638786,-79.473838
413 - 835 St Clair Ave W,"$669,000",Wychwood,Toronto,43.68015,-79.431791
11 Prince Rupert Ave,"$1,849,000",High Park North,Toronto,43.658463,-79.453849
70 Oriole Road,"$5,350,000",Yonge St. Clair,Toronto,43.689811,-79.401305
759 Wilson Heights Blvd,"$949,990",Bathurst Manor,Toronto,43.760363,-79.463893
3408 - 50 Town Centre Crt,"$568,000",Bendale,Toronto,43.740833,-79.489167
52 Acton Ave,"$1,449,900",Bathurst Manor,Toronto,43.760296,-79.449789
326 - 38 Monte Kwinter Crt,"$519,999",Clanton Park,Toronto,43.733592,-79.448826
301 - 30 Hayden St,"$499,900",Church Yonge Corridor,Toronto,43.66987,-79.385006
Ph14 - 1060 Sheppard Ave W,"$799,900",York University Heights,Toronto,43.750492,-79.464045
169 Kennard Ave,"$1,649,900",Bathurst Manor,Toronto,43.759786,-79.46168
412 - 17 Zorra St,"$475,000",Islington City Centre West,Toronto,43.621925,-79.522357
1802 - 3 Rowntree Rd,"$645,900",Mount Olive Silverstone Jamestown,Toronto,43.681222,-79.460569
1806 - 15 Legion Rd,"$799,880",Mimico,Toronto,43.621512,-79.484037
1801 - 225 Village Green Sq,"$559,000",Agincourt South Malvern West,Toronto,43.779842,-79.281958
2611 - 8 Eglinton Ave E,"$659,800",Mount Pleasant West,Toronto,43.707141,-79.397703
1904 - 20 Brin Dr,"$889,000",Edenbridge Humber Valley,Toronto,43.746854,-79.304044
