Street,City,Province,Zip,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage
369 Albany Ave #5, Toronto,ON,M5R3E2,43.676334,-79.414275,"C$889,000",2 bds,1 ba,
38 Joe Shuster Way #106, Toronto,ON,M6K0A5,43.640417,-79.424649,"C$619,900",2 bds,1 ba,
1926 Lake Shore Blvd W #1805, Toronto,ON,M6S1A1,43.635856,-79.467386,"C$766,900",2 bds,2 ba,
60 Town Centre Ct #306, Toronto,ON,M1P0B1,43.7734,-79.255862,"C$448,800",1 bd,1 ba,
190 Borough Dr #302, Toronto,ON,M1P0B6,43.772874,-79.253995,"C$759,900",3 bds,2 ba,
1400 Kingston Rd #501, Toronto,ON,M1N0C2,43.686959,-79.272431,"C$679,000",2 bds,2 ba,
102 George Henry Blvd #15, Toronto,ON,M2J1E7,43.77432,-79.348116,"C$499,999",3 bds,2 ba,
9 Valhalla Inn Rd #501, Toronto,ON,M9B0B2,43.639837,-79.559418,"C$549,000",2 bds,1 ba,
31 Twyford Rd, Toronto,ON,M9A1W3,43.665533,-79.539719,"C$6,285,000",5 bds,7 ba,
861 Sheppard Ave W #15, Toronto,ON,M3H2T5,43.752102,-79.453675,"C$888,000",2 bds,2 ba,
125 Western Battery Rd #2207, Toronto,ON,M6K3R8,43.639868,-79.416734,"C$895,000",3 bds,2 ba,
3220 Sheppard Ave E #318, Toronto,ON,M1T0B7,43.777968,-79.312305,"C$897,880",2 bds,2 ba,
1 Oregon Trl, Toronto,ON,M9B1P4,43.639976,-79.552582,"C$3,489,000",6 bds,6 ba,
111 Newton Dr, Toronto,ON,M2M2N2,43.794606,-79.410102,"C$2,268,000",7 bds,4 ba,
278 Bloor St E #905, Toronto,ON,M4W3M4,43.672265,-79.380454,"C$1,525,000",3 bds,2 ba,
30 Anglesey Blvd #G2, Toronto,ON,M9A3B5,43.663784,-79.522679,"C$1,075,000",2 bds,2 ba,
55 Stewart St UNIT 625, Toronto,ON,M5V2V1,43.643237,-79.401278,"C$625,000",1 bd,1 ba,
2191 Yonge St #1708, Toronto,ON,M4S3H8,43.705666,-79.39739,"C$888,000",3 bds,2 ba,
271 Park Home Ave, Toronto,ON,M2R1A1,43.764323,-79.434004,"C$1,499,000",4 bds,3 ba,
1 King St W #2402, Toronto,ON,M5H1A1,43.648987,-79.37807,"C$339,900",1 bd,1 ba,
34 Greengate Rd, Toronto,ON,M3B1E8,43.739958,-79.364228,"C$7,785,000",7 bds,7 ba,
10 Wilby Cres #1603, Toronto,ON,M9N0B6,43.697794,-79.512333,"C$859,000",3 bds,2 ba,
85 Drewry Ave, Toronto,ON,M2M1C9,43.78598,-79.421249,"C$2,745,000",2 bds,1 ba,
5 Whitehall Rd, Toronto,ON,M4W2C5,43.683971,-79.38242,"C$9,488,000",5 bds,8 ba,
66 Fontainbleau Dr, Toronto,ON,M2M1N9,43.793138,-79.432029,"C$999,800",6 bds,4 ba,
57 Saint Joseph St #523, Toronto,ON,M5S0C5,43.665388,-79.388021,"C$989,000",3 bds,2 ba,
365 Beech Ave #219, Toronto,ON,M4E0C2,43.680037,-79.29045,"C$999,900",2 bds,2 ba,
80 Palace Pier Ct #101, Toronto,ON,M8V4C1,43.630714,-79.474027,"C$999,000",2 bds,2 ba,
100 Harrison Garden Blvd #L02, Toronto,ON,M2N0C2,43.756982,-79.4044,"C$599,900",1 bd,1 ba,
70 Forest Manor Rd #3410, Toronto,ON,M2J0A9,43.689144,-79.404683,"C$885,000",2 bds,2 ba,
284 Ellis Ave, Toronto,ON,M6S2X2,43.645729,-79.472703,"C$4,250,000",6 bds,7 ba,
86 17th St, Toronto,ON,M8V3K4,43.602095,-79.517563,"C$999,999",4 bds,4 ba,
3 Dailing Gate, Toronto,ON,M1B1Z3,43.791382,-79.22969,"C$699,000",4 bds,3 ba,
120 Parliament St PENTHOUSE 2404, Toronto,ON,M5A0N6,43.653856,-79.363933,"C$1,069,000",3 bds,2 ba,
218 Pleasant Ave, Toronto,ON,M2M1M5,43.790667,-79.430102,"C$3,490,000",5 bds,7 ba,
210 Westmount Ave, Toronto,ON,M6E3M8,43.680554,-79.443098,"C$899,000",4 bds,3 ba,
11 Carisbrooke Sq, Toronto,ON,M1B4M2,43.81623,-79.214484,"C$1,325,000",6 bds,5 ba,
2335 1/2 Gerrard St E, Toronto,ON,M4E2E6,43.685302,-79.293178,"C$699,900",3 bds,2 ba,
160 Flemington Rd #512, Toronto,ON,M6A0A9,43.723077,-79.448251,"C$574,900",2 bds,2 ba,
39 Bushell Ave, Toronto,ON,M4M3B8,43.671322,-79.334877,"C$1,189,000",4 bds,2 ba,
133 Westminster Ave, Toronto,ON,M6R1N6,43.646774,-79.450533,"C$3,129,999",5 bds,5 ba,
11B Crawford St #11B, Toronto,ON,M6K3M3,43.640922,-79.413315,"C$999,900",3 bds,3 ba,
86 Sloping Sky Mews #TOWNHOUSE 6, Toronto,ON,M5V0B3,43.636887,-79.403026,"C$1,550,000",4 bds,3 ba,
993 Queen St W #223, Toronto,ON,M6J1H2,43.644646,-79.415649,"C$999,990",1 bd,1 ba,
32 Brookfield Rd, Toronto,ON,M2P1A9,43.741523,-79.400732,"C$5,749,000",4 bds,5 ba,
535 Brunswick Ave, Toronto,ON,M5R2Z6,43.673818,-79.410137,"C$1,729,000",6 bds,3 ba,
