,Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,house_counts,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
47,47,banbury don mills,32,160 the donway w #403,43.73383,-79.34844,POINT (633003.7704516413 4843636.093058267),424900,2,1,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,33,86,120,14,16,1,2
48,48,banbury don mills,86,34 greengate rd,43.739958,-79.364228,POINT (631718.876881061 4844291.473299489),7785000,7,7,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,1,14,49,0,0,1,0
49,49,banbury don mills,244,20 moccasin trl,43.731688,-79.339069,POINT (633763.2148207189 4843413.279124438),1498800,4,2,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,8,72,114,6,0,2,0
50,50,banbury don mills,285,9 overton pl,43.741095,-79.345984,POINT (633185.4504212021 4844446.924589464),1850000,4,4,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,14,80,118,11,1,2,0
51,51,banbury don mills,411,7 merredin pl,43.748513,-79.35726,POINT (632261.1311644057 4845252.736505637),3880000,6,6,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,8,62,124,4,0,4,0
52,52,banbury don mills,599,75 the donway w #805,43.732752,-79.345652,POINT (633230.6872300019 4843520.844863146),499000,0,1,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,45,85,116,15,26,1,3
53,53,banbury don mills,627,97 post rd,43.738724,-79.367822,POINT (631432.170936922 4844148.71102959),8888000,7,10,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,0,7,46,0,0,0,0
54,54,banbury don mills,736,3007 - 181 wynford dr,43.725064,-79.328704,POINT (634612.8088519722 4842694.373114744),759900,3,2,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,16,32,82,15,1,0,0
55,55,banbury don mills,806,504 - 1103 leslie street,43.720267,-79.347933,POINT (633074.6337232813 4842130.537796226),795000,3,2,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,7,26,77,7,0,0,0
56,56,banbury don mills,824,162 abbeywood tr,43.749649,-79.363305,POINT (631771.9349617751 4845369.271205332),2680000,4,4,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,7,46,93,7,0,0,0
57,57,banbury don mills,903,521 - 255 the donway w,43.739826,-79.346034,POINT (633184.2381712025 4844305.902900361),729000,2,2,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,21,86,121,14,4,2,1
58,58,banbury don mills,941,104 - 225 the donway w,43.733391,-79.347625,POINT (633070.377280563 4843588.644350624),1435000,2,3,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,44,92,119,15,25,1,3
59,59,banbury don mills,968,903 - 1103 leslie st,43.720267,-79.347933,POINT (633074.6337232813 4842130.537796226),698000,2,2,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,7,26,77,7,0,0,0
60,60,banbury don mills,1132,623 - 120 dallimore circ,43.730082,-79.332265,POINT (634314.7716212522 4843245.916688832),489000,1,1,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,5,25,91,5,0,0,0
