,Street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
62,939 Homer St #2402,V6B2W6,49.278115,-123.119485,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,698000.0,2 bds,1 ba,770 sqft,0,2,6,3,19,6,82,29,0,32,0,0,0,0,3
63,488 Helmcken St UNIT 605,V6B6E4,49.276526,-123.122747,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,775000.0,2 bds,2 ba,875 sqft,0,1,1,4,21,9,84,26,0,28,0,0,0,0,3
64,2612 Balaclava St,V6K4E2,49.263105,-123.173703,Central Kitsilano / Greektown,Vancouver,3298000.0,3 bds,3 ba,"1,682 sqft",0,0,0,3,5,2,25,10,0,4,0,0,0,0,0
65,1425 Lameys Mill Rd #10,V6H3W2,49.268443,-123.135844,West Fairview / Granville Island / NE Shaughnessy,Vancouver,999999.0,2 bds,2 ba,"1,340 sqft",0,0,1,0,11,2,12,10,0,9,0,0,0,0,1
66,453 E 47th Ave,V5W2B3,49.227715,-123.095493,SE Riley Park / SW Kensington-Cedar Cottage / NE Oakridge / North Sunset,Vancouver,1828000.0,2 bds,2 ba,"1,876 sqft",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
67,583 Beach Cres #2903,V6Z3E6,49.273589,-123.129221,SW Downtown,Vancouver,2098000.0,2 bds,2 ba,"1,245 sqft",0,0,1,3,11,2,14,7,0,5,0,0,0,0,2
68,610 Granville St #811,V6C3T3,49.28312,-123.116554,Waterfront / Coal Harbour / Canada Place,Vancouver,499000.0,Studio,1 ba,420 sqft,0,4,13,4,46,7,62,55,0,47,0,0,0,0,4
69,540 E 11th Ave,V5T2C4,49.260377,-123.091996,East Mount Pleasant,Vancouver,1198000.0,2 bds,1 ba,871 sqft,1,0,0,2,15,0,12,2,0,3,0,0,0,0,0
70,1201 Marinaside Cres #1602,V6Z2V2,49.273129,-123.120638,SW Downtown,Vancouver,1398000.0,2 bds,2 ba,"1,018 sqft",0,1,0,2,13,1,39,12,0,11,0,0,0,0,1
71,2850 Mackenzie St,V6K4A2,49.260838,-123.169951,Central Kitsilano / Greektown,Vancouver,2298000.0,3 bds,4 ba,"1,555 sqft",0,0,0,2,18,1,16,8,0,5,0,0,0,0,1
72,1332 W 51st Ave,V6P1C7,49.22465,-123.135958,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,6480000.0,5 bds,7 ba,"4,883 sqft",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
73,8988 Hudson St #116,V6P6Z1,49.20355,-123.134225,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,465000.0,1 bd,1 ba,465 sqft,0,0,0,0,10,0,4,2,0,0,0,0,0,0,0
74,445 E 57th Ave #2,V5X1S8,49.218602,-123.09638,SE Oakridge / East Marpole / South Sunset,Vancouver,1478000.0,5 bds,4 ba,"1,599 sqft",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,8555 Granville St #2108,V6P0C3,49.209294,-123.141287,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,1068000.0,2 bds,2 ba,911 sqft,0,0,0,1,12,1,23,3,0,7,0,0,0,0,0
76,555 Abbott St #312,V6B6B8,49.280181,-123.108684,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,999000.0,3 bds,1 ba,986 sqft,0,1,4,3,31,10,34,31,0,36,0,0,0,0,1
77,1465 Walnut St,V6J3R2,49.272706,-123.149237,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,1580000.0,2 bds,2 ba,"1,217 sqft",0,0,0,0,4,0,10,7,0,6,0,0,0,0,0
78,4422 Quesnel Dr,V6L2X6,49.247018,-123.168268,NW Arbutus Ridge / NE Dunbar- Southlands,Vancouver,8680000.0,5 bds,6 ba,"4,409 sqft",0,0,0,0,11,0,1,0,0,1,0,0,0,0,0
79,7450 Balaclava St,V6N1M8,49.218032,-123.175623,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,3875000.0,3 bds,3 ba,"2,053 sqft",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,277 Thurlow St #3001,V6C0C1,49.288884,-123.11914,Waterfront / Coal Harbour / Canada Place,Vancouver,13800000.0,3 bds,4 ba,"3,327 sqft",0,1,1,2,14,3,34,20,0,7,0,0,0,0,1
81,4053 W 32nd Ave,V6S1Z5,49.243624,-123.195417,NW Dunbar- Southlands / Chaldecutt / South University Endowment Lands,Vancouver,2769000.0,6 bds,4 ba,"2,408 sqft",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,168 Powell St #515,V6A0B2,49.282968,-123.100636,Strathcona / Chinatown / Downtown Eastside,Vancouver,399888.0,1 bd,1 ba,566 sqft,0,0,0,3,23,5,48,11,0,4,0,0,0,0,1
83,209 E 7th Ave #501,V5T0H3,49.264857,-123.100405,East Mount Pleasant,Vancouver,1425000.0,3 bds,2 ba,"1,327 sqft",0,0,0,3,20,2,29,10,0,6,0,0,0,0,1
84,2453 W 10th Ave,V6K2K7,49.263248,-123.161373,Central Kitsilano / Greektown,Vancouver,3498000.0,5 bds,4 ba,"2,327 sqft",0,0,0,1,5,0,5,3,0,0,0,0,0,0,0
85,2600 E 49th Ave #112,V5S1J8,49.224313,-123.054098,Killarney,Vancouver,529999.0,2 bds,1 ba,882 sqft,0,0,0,1,13,0,2,2,0,1,0,0,0,0,0
