Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
1161 Keefer Street,"$2,399,000",Strathcona,Vancouver,5 bd,5,Duplex
1504 1568 Alberni Street,"$2,388,000",West End,Vancouver,2 bd,2,Apt/Condo
105 205 E 10th Avenue,"$625,000",Mount Pleasant East,Vancouver,0 bd,1,Apt/Condo
1 39 W 22nd Avenue,"$2,489,000",Cambie,Vancouver,3 bd,4,Duplex
2 39 W 22nd Avenue,"$2,489,000",Cambie,Vancouver,3 bd,4,Duplex
1801 183 Keefer Place,"$799,000",Downtown West,Vancouver,2 bd,1,Apt/Condo
5203 1480 Howe Street,"$5,988,000",Yaletown,Vancouver,3 bd,3,Apt/Condo
2611 610 Granville Street,"$899,000",Downtown West,Vancouver,2 bd,2,Apt/Condo
1688 W 61st Avenue,"$4,150,000",South Granville,Vancouver,6 bd,6,House
402 4988 Cambie Street,"$799,900",Cambie,Vancouver,1 bd,1,Apt/Condo
6908 Dawson Street,"$2,849,000",Killarney,Vancouver,7 bd,4,House
607 5168 Cambie Street,"$1,149,900",Cambie,Vancouver,1 bd,1,Apt/Condo
1506 1188 Howe Street,"$585,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
105 205 E 10th Avenue,"$625,000",Mount Pleasant East,Vancouver,0 bd,1,Apt/Condo
5306 Culloden Street,"$1,425,000",Knight,Vancouver,2 bd,1,House
2 1322 13th Avenue,"$1,949,999",Grandview East,Vancouver,4 bd,4,Duplex
1907 4815 Eldorado Mews,"$699,000",Collingwood,Vancouver,2 bd,1,Apt/Condo
2033 E 35th Avenue,"$1,628,000",Victoria East,Vancouver,4 bd,4,Duplex
2035 E 35th Avenue,"$1,699,000",Victoria East,Vancouver,4 bd,4,Duplex
103 788 W 8th Avenue,"$1,448,000",Fairview,Vancouver,2 bd,1,Apt/Condo
203 788 W 8th Avenue,"$2,264,000",Fairview,Vancouver,3 bd,2,Apt/Condo
206 788 W 8th Avenue,"$2,292,000",Fairview,Vancouver,3 bd,2,Apt/Condo
102 788 W 8th Avenue,"$1,736,000",Fairview,Vancouver,2 bd,2,Apt/Condo
106 788 W 8th Avenue,"$1,320,000",Fairview,Vancouver,1 bd,1,Apt/Condo
104 788 W 8th Avenue,"$1,228,000",Fairview,Vancouver,1 bd,1,Apt/Condo
L03 788 W 8th Avenue,"$2,460,000",Fairview,Vancouver,2 bd,2,Apt/Condo
207 788 W 8th Avenue,"$2,284,000",Fairview,Vancouver,3 bd,2,Apt/Condo
902 1325 Rolston Street,"$799,000",Downtown West,Vancouver,2 bd,1,Apt/Condo
807 518 Moberly Road,"$1,599,000",False Creek,Vancouver,2 bd,2,Apt/Condo
125 W 41st Avenue,"$1,650,000",Cambie,Vancouver,3 bd,3,Townhouse
2407 1155 Seymour Street,"$545,000",Downtown West,Vancouver,0 bd,1,Apt/Condo
1344 Laburnum Street,"$1,960,000",Kitsilano,Vancouver,3 bd,2,Townhouse
1346 Laburnum Street,"$2,188,000",Kitsilano,Vancouver,2 bd,2,Townhouse
1701 1499 W Pender Street,"$2,230,000",Coal Harbour,Vancouver,2 bd,2,Apt/Condo
2959 W 16 Avenue,"$3,998,000",Kitsilano,Vancouver,5 bd,5,House
923-925 E Broadway,"$3,788,000",Mount Pleasant East,Vancouver,14 bd,6,House
3625 Monmouth Avenue,"$1,698,000",Collingwood,Vancouver,4 bd,2,House
3402 1335 Howe Street,"$1,769,900",Downtown West,Vancouver,2 bd,2,Apt/Condo
3868 W 23rd Avenue,"$3,988,000",Dunbar,Vancouver,6 bd,3,House
2905 Rosemont Drive,"$2,188,000",Fraserview East,Vancouver,5 bd,4,Duplex
2069 E 1st Avenue,"$1,489,000",Grandview East,Vancouver,3 bd,3,Townhouse
371 E 16th Avenue,"$1,575,000",Mount Pleasant East,Vancouver,3 bd,3,Duplex
1426 W 48th Avenue,"$5,699,000",South Granville,Vancouver,6 bd,6,House
1109 8189 Cambie Street,"$627,800",Marpole,Vancouver,1 bd,1,Apt/Condo
3108 W 31st Avenue,"$6,375,000",Mackenzie Heights,Vancouver,6 bd,6,House
Ph2 668 W 16th Avenue,"$1,258,800",Cambie,Vancouver,2 bd,2,Apt/Condo
5352 Lanark Street,"$1,629,000",Knight,Vancouver,3 bd,4,Duplex
1104 489 Interurban Way,"$539,900",Marpole,Vancouver,1 bd,1,Apt/Condo
407 5399 Joyce Street,"$799,000",Collingwood,Vancouver,2 bd,2,Apt/Condo
6261 Adera Street,"$5,880,000",South Granville,Vancouver,6 bd,5,House
4190 W 11th Avenue,"$3,088,000",Point Grey,Vancouver,4 bd,3,House
502 1188 W Pender Street,"$749,000",Coal Harbour,Vancouver,1 bd,1,Apt/Condo
21 7565 Oak Street,"$1,546,000",South Granville,Vancouver,3 bd,3,Townhouse
18 E 1st Avenue,"$1,588,000",Mount Pleasant East,Vancouver,3 bd,3,Townhouse
204 1205 W 14th Avenue,"$819,900",Fairview,Vancouver,2 bd,2,Townhouse
1837 Matthews Avenue,"$6,298,000",Shaughnessy,Vancouver,6 bd,5,House
4390 Kaslo Street,"$3,651,763",Renfrew Heights,Vancouver,0 bd,1,House
2 1328 E 35th Avenue,"$1,698,000",Knight,Vancouver,3 bd,4,Duplex
1 2260 E 25th Avenue,"$1,499,000",Victoria East,Vancouver,3 bd,4,Duplex
210 5989 Iona Drive,"$1,550,000",University (Ubc),Vancouver,2 bd,2,Apt/Condo
2309 1009 Expo Boulevard,"$629,000",Yaletown,Vancouver,1 bd,1,Apt/Condo
2 6273 Windsor Street,"$1,628,800",Fraser East,Vancouver,3 bd,3,Duplex
485 W 35th Avenue,"$7,380,000",Cambie,Vancouver,0 bd,,Land/Lot
5584 Mackenzie Street,"$2,698,000",Kerrisdale,Vancouver,5 bd,3,House
202 2973 Kingsway,"$650,000",Collingwood,Vancouver,2 bd,2,Apt/Condo
1 6273 Windsor Street,"$1,588,800",Fraser East,Vancouver,3 bd,3,Duplex
2262 Newport Avenue,"$1,599,000",Fraserview East,Vancouver,4 bd,4,Duplex
1 1328 E 35th Avenue,"$1,648,000",Knight,Vancouver,3 bd,4,Duplex
4517 W 4th Avenue,"$6,999,000",Point Grey,Vancouver,4 bd,4,House
103 1266 W 13th Avenue,"$679,000",Fairview,Vancouver,1 bd,1,Apt/Condo
5630 Lincoln Street,"$1,649,000",Collingwood,Vancouver,5 bd,2,House
Ph 2805 1323 Homer Street,"$2,988,888",Yaletown,Vancouver,2 bd,2,Apt/Condo
36 4900 Cartier Street,"$2,350,000",Shaughnessy,Vancouver,2 bd,3,Townhouse
1112 E 21st Avenue,"$1,899,900",Knight,Vancouver,3 bd,2,House
1150 E 41st Avenue,"$1,938,000",Knight,Vancouver,6 bd,4,House
1202 1788 Ontario Street,"$2,798,000",False Creek,Vancouver,2 bd,2,Apt/Condo
1 526 E 30th Avenue,"$2,890,000",Fraser East,Vancouver,4 bd,4,Duplex
213 1330 Burrard Street,"$465,000",West End,Vancouver,0 bd,1,Apt/Condo
903 1678 Pullman Porter Street,"$2,349,000",Mount Pleasant East,Vancouver,2 bd,2,Apt/Condo
407 590 Nicola Street,"$1,749,000",Coal Harbour,Vancouver,2 bd,2,Apt/Condo
1010 38 W 1st Avenue,"$1,090,000",False Creek,Vancouver,2 bd,2,Apt/Condo
308 1478 W Hastings Street,"$668,000",Coal Harbour,Vancouver,1 bd,1,Apt/Condo
806 928 Beatty Street,"$529,000",Yaletown,Vancouver,0 bd,1,Apt/Condo
131 W 41st Avenue,"$1,549,000",Cambie,Vancouver,2 bd,2,Townhouse
2 128 W Woodstock Avenue,"$2,090,000",Cambie,Vancouver,3 bd,2,Townhouse
1809 1283 Howe Street,"$650,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
604 555 Jervis Street,"$738,000",Coal Harbour,Vancouver,1 bd,1,Apt/Condo
2301 501 Pacific Street,"$590,000",Downtown West,Vancouver,0 bd,1,Apt/Condo
1802 1200 W Georgia Street,"$725,000",West End,Vancouver,1 bd,1,Apt/Condo
204 2001 Wall Street,"$899,000",Hastings,Vancouver,1 bd,1,Apt/Condo
288 E 59th Avenue,"$3,288,000",South Vancouver,Vancouver,8 bd,8,House
2 351 E 38th Avenue,"$2,299,000",Main,Vancouver,3 bd,4,Duplex
303 4101 Yew Street,"$1,468,800",Quilchena,Vancouver,2 bd,3,Apt/Condo
204 2275 W 40th Avenue,"$949,000",Kerrisdale,Vancouver,2 bd,2,Apt/Condo
1806 1128 Quebec Street,"$1,748,888",Downtown East,Vancouver,3 bd,2,Apt/Condo
502 63 Keefer Place,"$970,000",Downtown West,Vancouver,3 bd,2,Apt/Condo
328 Wethersfield Drive,"$1,939,000",South Cambie,Vancouver,3 bd,2,Townhouse
103 835 W 7th Avenue,"$979,000",Fairview,Vancouver,2 bd,2,Townhouse
3653 Eton Street,"$1,548,000",Hastings Sunrise,Vancouver,3 bd,4,Duplex
901 1650 W 7th Avenue,"$819,000",Fairview,Vancouver,1 bd,1,Apt/Condo
806 298 E 11 Avenue,"$969,000",Mount Pleasant East,Vancouver,2 bd,2,Apt/Condo
584 87 Nelson Street,"$1,100,000",Yaletown,Vancouver,2 bd,2,Apt/Condo
302 2080 Maple Street,"$549,000",Kitsilano,Vancouver,1 bd,1,Apt/Condo
36 E 37th Avenue,"$2,090,000",Main,Vancouver,4 bd,3,Duplex
2301 667 Howe Street,"$2,690,000",Downtown West,Vancouver,3 bd,3,Apt/Condo
406 5399 Joyce Street,"$799,000",Collingwood,Vancouver,2 bd,2,Apt/Condo
102 1311 Beach Avenue,"$1,475,000",West End,Vancouver,1 bd,2,Apt/Condo
51 E 27th Avenue,"$2,498,000",Main,Vancouver,3 bd,4,House
213 1424 Walnut Street,"$979,800",Kitsilano,Vancouver,2 bd,1,Apt/Condo
1675 Larch Street,"$2,128,000",Kitsilano,Vancouver,2 bd,2,House
142 E 27th Avenue,"$2,689,000",Main,Vancouver,5 bd,3,House
2025 SW Marine Drive,"$5,600,000",Southwest Marine,Vancouver,4 bd,5,House
614 933 Seymour Street,"$699,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
412 2388 Western Parkway,"$1,099,000",University (Ubc),Vancouver,2 bd,2,Apt/Condo
1810 E 55th Avenue,"$1,888,000",Fraserview East,Vancouver,5 bd,4,Duplex
1824 W 12th Avenue,"$849,900",Kitsilano,Vancouver,1 bd,2,Townhouse
412 2528 Maple Street,"$1,079,900",Kitsilano,Vancouver,2 bd,2,Apt/Condo
1608 788 Hamilton Street,"$829,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
504 3438 Sawmill Crescent,"$1,499,900",South Marine,Vancouver,3 bd,3,Apt/Condo
108 788 W 8th Avenue,"$1,272,000",Fairview,Vancouver,1 bd,1,Apt/Condo
109 1855 Stainsbury Avenue,"$1,199,000",Victoria East,Vancouver,3 bd,2,Townhouse
1362 E 17th Avenue,"$1,769,000",Knight,Vancouver,3 bd,4,Duplex
906 833 Seymour Street,"$674,800",Downtown West,Vancouver,1 bd,1,Apt/Condo
2371 E 30th Avenue,"$2,299,000",Collingwood,Vancouver,5 bd,3,House
2959 W 16 Avenue,"$3,998,000",Kitsilano,Vancouver,5 bd,5,House
312 5077 Cambie Street,"$1,688,000",Cambie,Vancouver,3 bd,2,Apt/Condo
2377 E 30th Avenue,"$2,299,000",Collingwood,Vancouver,9 bd,3,House
411 5733 Alberta Street,"$1,249,000",Oakridge,Vancouver,2 bd,2,Apt/Condo
Ph7 1082 Seymour Street,"$598,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
301 2288 Laurel Street,"$849,000",Fairview,Vancouver,2 bd,1,Apt/Condo
5755 Angus Drive,"$11,880,000",South Granville,Vancouver,7 bd,8,House
